Sr.No,Question,routerModel_name,routerSuggestedRoute,routerModel_Confidence,routerModel_Selection_Reason,router_PromptToken,router_response_token,router_total_token,router_ResponseTime,router_inputcost,router_outputcost,router_totalcost,llmModel_name,llm_PromptToken,llm_response_token,llm_total_token,llm_ResponseTime,llm_inputcost,llm_outputcost,llm_totalcost,total_cost_each_question,total_response_time_each_question,Router LLM Selection,
1,Write a short thank-you message to a colleague for helping with a project.,,Simple,1,Matched keyword: 'message',0,0,0,0.0023251,0,0,0,gpt-4o-mini,22,66,88,3.5359973,3.30E-06,3.96E-05,4.29E-05,4.29E-05,3.538322,gpt-4o-mini,TRUE
2,Design a high-level architecture for a smart model router that selects models based on prompt complexity and response quality.,,Quality,1,Matched keyword: 'architecture',0,0,0,0.0002721,0,0,0,gpt-4o-mini,28,818,846,11.7296273,4.20E-06,0.0004908,0.000495,0.000495,11.729899,gpt-4o-mini,TRUE
3,Generate Python code that reads a CSV file and calculates total cost grouped by model name.,,Code,1,Matched keyword: 'code',0,0,0,1.80E-05,0,0,0,gpt-4o,24,434,458,6.1408769,6.00E-05,0.00434,0.0044,0.0044,6.140895,gpt-4o,TRUE
4,What factors should I consider when buying a wireless noise-cancelling headphone?,,Quality,0.5,No keyword matched. Defaulted to Quality route.,0,0,0,0.0005882,0,0,0,gpt-4o-mini,22,501,523,13.9265651,3.30E-06,0.0003006,0.0003039,0.0003039,13.927153,gpt-4o-mini,TRUE
5,Explain the tradeoffs between using a smaller LLM for fast responses and a larger LLM for complex reasoning tasks.,,Quality,0.5,No keyword matched. Defaulted to Quality route.,0,0,0,0.0003837,0,0,0,gpt-4o-mini,30,680,710,12.2872718,4.50E-06,0.000408,0.0004125,0.0004125,12.287655,gpt-4o-mini,TRUE
6,Debug this Python error conceptually: TypeError: Object of type CustomClass is not JSON serializable.,,Code,1,Matched keyword: 'python',0,0,0,3.06E-05,0,0,0,gpt-4o,28,764,792,10.5603584,7.00E-05,0.00764,0.00771,0.00771,10.560389,gpt-4o,TRUE
7,Summarize the benefits of using cloud computing for a small business in simple terms.,,Simple,1,Matched keyword: 'summarize',0,0,0,0.0002827,0,0,0,gpt-4o-mini,24,242,266,5.3092373,3.60E-06,0.0001452,0.0001488,0.0001488,5.30952,gpt-4o-mini,TRUE
8,What is the difference between Wi-Fi and Bluetooth?,,Simple,1,Matched keyword: 'what is',0,0,0,0.0002637,0,0,0,gpt-4o-mini,17,500,517,11.0738229,2.55E-06,0.0003,0.00030255,0.00030255,11.074087,gpt-4o-mini,TRUE
9,"Create a production-ready architecture for an AI chatbot that uses RAG, model routing, observability, and cost tracking.",,Quality,1,Matched keyword: 'architecture',0,0,0,0.0002046,0,0,0,gpt-4o-mini,31,863,894,17.7276995,4.65E-06,0.0005178,0.00052245,0.00052245,17.727904,gpt-4o-mini,TRUE
10,Generate Python code that reads a JSON file and converts selected nested fields into a CSV file.,,Code,1,Matched keyword: 'code',0,0,0,3.90E-05,0,0,0,gpt-4o,25,624,649,4.9917291,6.25E-05,0.00624,0.0063025,0.0063025,4.991768,gpt-4o,TRUE
